state_abbr,year,counties,total_permitted_units,one_unit_permitted_units,multifamily_permitted_units,median_permits_per_1000_housing_units,median_mobile_home_share,median_risk_score
AL,2020,12,11044,9591,1453,8.774083336888392,0.1493351856678632,75.92239185750637
AL,2021,13,12538,9658,2880,7.5608649629517615,0.1561164583250129,72.13740458015268
AL,2022,67,19546,15967,3579,1.7003910899506889,0.2173629951166576,67.4618320610687
AL,2023,67,20140,16170,3970,1.7645269242470336,0.2173629951166576,67.4618320610687
AL,2024,67,20615,17347,3268,1.654475792406827,0.2173629951166576,67.4618320610687
AL,2025,67,18841,15325,3516,1.4283770915521696,0.2173629951166576,67.4618320610687
AR,2020,12,4391,3286,1105,3.889803217824139,0.15623110260028217,57.951653944020364
AR,2021,12,6309,4377,1932,3.8825081860069877,0.15623110260028217,57.951653944020364
AR,2022,73,14306,9417,4889,1.074729526402522,0.1480848987557941,55.534351145038165
AR,2023,73,12752,9249,3503,1.1553061561313749,0.1480848987557941,55.534351145038165
AR,2024,73,13527,9656,3871,1.1965300628178284,0.1480848987557941,55.534351145038165
AR,2025,73,15475,10290,5185,1.211596711380355,0.1480848987557941,55.534351145038165
FL,2020,26,99816,69238,30578,17.392646735663583,0.09016931178605089,91.69847328244276
FL,2021,26,131523,86830,44693,22.062367489824588,0.09016931178605089,91.69847328244276
FL,2022,67,212207,133751,78456,17.537294732797648,0.1599272049358604,87.97709923664122
FL,2023,67,193194,124480,68714,14.441952784248835,0.1599272049358604,87.97709923664122
FL,2024,67,173163,123351,49812,12.54855094114132,0.1599272049358604,87.97709923664122
FL,2025,67,175204,110634,64570,13.078445619221808,0.1599272049358604,87.97709923664122
GA,2020,47,35848,30768,5080,13.294890277110364,0.0770120416354854,61.25954198473282
GA,2021,47,43164,34212,8952,16.463705013946527,0.0770120416354854,61.25954198473282
GA,2022,156,76655,46792,29863,9.288302664714983,0.20808353486410144,37.27735368956743
GA,2023,156,63386,44108,19278,8.525324502981471,0.20808353486410144,37.27735368956743
GA,2024,156,67877,47881,19996,9.046437143480563,0.20808353486410144,37.27735368956743
GA,2025,156,60430,43931,16499,8.810841608811621,0.20808353486410144,37.27735368956743
LA,2020,22,11638,10801,837,8.483352240575076,0.15741532716943168,83.79452926208651
LA,2021,22,13348,12049,1299,8.797005240330037,0.15741532716943168,83.79452926208651
LA,2022,64,16576,13942,2634,3.89100745981026,0.20070258827890697,69.91094147582697
LA,2023,64,14035,11061,2974,3.710481908092105,0.20070258827890697,69.91094147582697
LA,2024,64,14536,12246,2290,3.603331778071655,0.20070258827890697,69.91094147582697
LA,2025,64,14380,11376,3004,3.8620711602305984,0.20070258827890697,69.91094147582697
MS,2020,10,4470,4050,420,7.770130629676041,0.20613317087524224,63.70865139949109
MS,2021,10,4126,3913,213,7.269172639975254,0.20613317087524224,63.70865139949109
MS,2022,79,8114,7413,701,0.7239819004524887,0.194610494354303,51.52671755725192
MS,2023,78,7417,6891,526,0.803467729298526,0.19438995564799855,51.765267175572525
MS,2024,78,7684,7327,357,0.6994622621217439,0.19438995564799855,51.765267175572525
MS,2025,78,8348,7292,1056,1.0969186240908315,0.19438995564799855,51.765267175572525
NC,2020,28,50301,36678,13623,12.982483787607038,0.12474762147787016,77.67175572519085
