geoid,NAME,state_abbr,county_name,total_units,permits_per_1000_housing_units,acs_total_housing_units,acs_mobile_home_units,mobile_home_share,RISK_SCORE,RISK_RATNG,SOVI_SCORE,RESL_SCORE
12043,"Glades County, Florida",FL,Glades County,108,16.143497757847534,6690,3612,0.5399103139013453,48.02798982188295,Relatively Low,89.7264631,0.9223918575063612
13025,"Brantley County, Georgia",GA,Brantley County,50,6.025548324897565,8298,4229,0.5096408773198361,18.28880407124682,Very Low,34.22391858,31.26590330788804
13003,"Atkinson County, Georgia",GA,Atkinson County,18,5.09915014164306,3530,1799,0.5096317280453257,7.315521628498728,Very Low,47.26463104,15.871501272264632
12029,"Dixie County, Florida",FL,Dixie County,51,5.407124681933842,9432,4765,0.50519508057676,35.49618320610687,Very Low,57.09287532,2.989821882951654
13307,"Webster County, Georgia",GA,Webster County,6,5.2493438320209975,1143,577,0.5048118985126859,2.44910941475827,Very Low,81.80661578,9.255725190839694
12041,"Gilchrist County, Florida",FL,Gilchrist County,94,11.95472465979906,7863,3916,0.4980287422103522,27.95801526717557,Very Low,73.47328244,10.782442748091604
12125,"Union County, Florida",FL,Union County,45,9.312913907284768,4832,2350,0.486341059602649,10.877862595419847,Very Low,39.47201018,31.99745547073791
13239,"Quitman County, Georgia",GA,Quitman County,17,9.62082625919638,1767,855,0.4838709677419355,8.333333333333332,Very Low,91.7302799,0.3180661577608142
12121,"Suwannee County, Florida",FL,Suwannee County,136,7.090349825348001,19181,9150,0.4770345654553986,71.34223918575063,Relatively Low,60.11450382,5.184478371501272
22091,"St. Helena Parish, Louisiana",LA,St. Helena Parish,14,2.6143790849673203,5355,2419,0.4517273576097105,36.2913486005089,Very Low,96.94656489,26.240458015267176
22085,"Sabine Parish, Louisiana",LA,Sabine Parish,69,5.032455692509664,13711,6144,0.4481073590547735,60.973282442748086,Relatively Low,91.18956743,14.69465648854962
12107,"Putnam County, Florida",FL,Putnam County,124,3.3454741670039123,37065,16211,0.4373667880750034,79.73918575063614,Relatively Low,79.67557252,13.19974554707379
01011,"Bullock County, Alabama",AL,Bullock County,0,0.0,4579,1982,0.4328455994758681,25.254452926208653,Very Low,97.55089059,33.14249363867685
13141,"Hancock County, Georgia",GA,Hancock County,24,4.828002414001207,4971,2142,0.4308992154496077,11.863867684478372,Very Low,98.28244275,6.424936386768448
12075,"Levy County, Florida",FL,Levy County,240,11.177347242921014,21472,9190,0.4279992548435171,66.0941475826972,Relatively Low,93.44783715,9.16030534351145
13101,"Echols County, Georgia",GA,Echols County,9,6.642066420664207,1355,578,0.4265682656826568,0.540712468193384,Very Low,10.62340967,1.717557251908397
12047,"Hamilton County, Florida",FL,Hamilton County,34,6.014505572262516,5653,2399,0.4243764372899345,43.00254452926209,Relatively Low,89.02671756,8.396946564885496
22021,"Caldwell Parish, Louisiana",LA,Caldwell Parish,7,1.4998928647953718,4667,1934,0.4143989715020356,10.49618320610687,Very Low,69.52926209,55.85241730279898
37185,"Warren County, North Carolina",NC,Warren County,240,20.47257527936535,11723,4781,0.4078307600443572,50.76335877862596,Relatively Low,91.38040712,9.82824427480916
12123,"Taylor County, Florida",FL,Taylor County,57,5.062616573407941,11259,4513,0.4008348876454392,65.42620865139949,Relatively Low,89.40839695,26.74936386768448
13061,"Clay County, Georgia",GA,Clay County,4,2.0191822311963654,1981,785,0.3962645128722867,8.460559796437659,Very Low,99.30025445,7.633587786259542
45089,"Williamsburg County, South Carolina",SC,Williamsburg County,33,2.2137250955926744,14907,5883,0.394646810223385,82.06106870229007,Relatively Moderate,90.58524173,21.342239185750635
12093,"Okeechobee County, Florida",FL,Okeechobee County,88,4.73831574413095,18572,7233,0.3894572474693086,80.27989821882952,Relatively Low,87.91348601,2.9580152671755724
01023,"Choctaw County, Alabama",AL,Choctaw County,0,0.0,7200,2803,0.3893055555555555,70.61068702290076,Relatively Low,79.70737913,12.786259541984732
28005,"Amite County, Mississippi",MS,Amite County,0,0.0,7346,2848,0.3876939831200653,48.21882951653944,Relatively Low,98.05979644,14.790076335877863
13049,"Charlton County, Georgia",GA,Charlton County,38,7.991587802313354,4755,1829,0.3846477392218717,26.7175572519084,Very Low,90.29898219,4.643765903307888
37073,"Gates County, North Carolina",NC,Gates County,12,2.486016159105034,4827,1819,0.3768386161176714,10.464376590330788,Very Low,42.77989822,10.623409669211195
48455,"Trinity County, Texas",TX,Trinity County,0,0.0,8326,3133,0.3762911361998559,60.62340966921119,Relatively Low,94.46564885,12.181933842239186
45025,"Chesterfield County, South Carolina",SC,Chesterfield County,119,5.709350861200403,20843,7824,0.3753778246893441,73.9821882951654,Relatively Low,83.30152672,19.783715012722645
12067,"Lafayette County, Florida",FL,Lafayette County,41,12.249775918733194,3347,1255,0.374962653122199,15.903307888040713,Very Low,50.34987277,11.736641221374049
37155,"Robeson County, North Carolina",NC,Robeson County,399,8.124452770255136,49111,18408,0.3748243774307181,91.0941475826972,Relatively Moderate,98.34605598,14.09033078880407
01065,"Hale County, Alabama",AL,Hale County,8,1.0534632604687912,7594,2844,0.3745061890966552,39.09033078880408,Very Low,90.61704835,22.646310432569976
01085,"Lowndes County, Alabama",AL,Lowndes County,2,0.4126263668248401,4847,1812,0.3738394883433051,29.07124681933842,Very Low,99.61832061,26.653944020356235
13001,"Appling County, Georgia",GA,Appling County,13,1.5178050204319906,8565,3187,0.3720957384705196,50.22264631043257,Relatively Low,73.9821883,49.4910941475827
13183,"Long County, Georgia",GA,Long County,275,40.08162075499198,6861,2547,0.3712286838653257,8.015267175572518,Very Low,10.62340967,4.166666666666666
13289,"Twiggs County, Georgia",GA,Twiggs County,13,3.2059186189889024,4055,1503,0.3706535141800247,8.492366412213741,Very Low,96.05597964,47.105597964376585
